	latitude	longitude	depth	depthWater	temperature.in.situ	conductivity	salinity	temperature.Wat.Pot	density	oxygen	nitrate	chlorophyllA	chlorophyllA.Wat.Samples	ang.Scat.Coef.470	opt.Back.Scat.Coef.470	back.Scat.Coef.Part	fCDOM	opt.Beam.Att.Coef.660	beam.Att.Coef.Part	PAR.in.situ	PAR.8days.KdPAR1	moon.Phase.Proportion	sea.Ice.Concentration	sea.Ice.Free.Period	sunshine.Duration	PAR.8days.AMODIS	SSTgradientHorizontaSDL	SSTgradient.AMODIS.8D	phi.sat	fCDOM.AMODIS	chlorophyllA.GSM.GlobColour	NPP.VGPM.8days	TSM.8D	POC.8D	PIC.8D	residence.Time	diffuse.Att.Coef.490	part.Back.Scat.Coef.443	CDM.absorption.coef.443	depth.Euph.layer	MDL.Temp	MDL.sigmatheta	DCM	depth.Max.Brunt.Vaisala.Freq	depth.Max.O2	depth.Min.O2	depth.Nitracline	NO2	PO4	NO3.NO2	SiOH4	flux1km24h	flux2km24h
S11ZZZ	41.6686	2.7998	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	365	697	32.782772	NA	21.3595015	0.9456352286	NA	0.0989032611250877	NA	0.264934569597244	43.0201759338379	1.99999994947575e-05	0	NA	0.00024706736439839	0.0272776391357183	85.0287857055664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S120SUR	-23.0243333333333	-134.923287179487	5	6.461125	23.6621	53.66722	36.517275	23.660412	24.891237	206.474875	-1.016536	0.0147	0.055595	0.000767	0.004687	0.006349	1.703275	0.131117	0.121693	NA	NA	0.3	0	365	646	30.640074	1.3088	23.8733035	NA	NA	0.180536091327667	NA	0.354099050164223	27.8211078643799	0.000178398891875986	9.555556	NA	0.00648430408909917	0.0338329765945673	72.6540641784668	13	13	9	12	13	6	3	0.02	0.17	0.1	0.7	NA	NA
S121SUR	-23.0730674418605	-135.018037209302	5	6.513875	24.232737	54.207769	36.4614	24.23165	24.67895	201.681	-0.910661	0	0	0.000153	0.000441	0.002102	1.373801	0.041859	0.032435	NA	NA	0.64	0	365	647	29.032568	1.32953720930233	23.8281325	NA	NA	0.293042689561844	NA	0.556223914027214	NA	NA	0	NA	0.0188074931502342	0.0390370786190033	56.1668739318848	52	52	22.0697674418605	40.3023255813954	19.8372093023256	50.7674418604651	21.6046511627907	0.01	0.17	0	0.7	NA	NA
S122DCM	-8.98979918699187	-139.200035772358	115	114.796691869919	24.6951280894309	54.255243804878	36.088612398374	24.6702459349594	24.2641386178862	178.412846341463	3.20245816260163	0.120080975609756	0.301540829268293	0.000169650406504065	0.000509146341463415	0.00216690243902439	1.87761104065041	0.0534923983739837	0.0443596422764228	NA	0.00838583739837398	0.0648780487804878	0	365	701.918699186992	46.2866096747968	0.126348048780488	26.536939554878	2.8445398594	3.24993	0.117884149093454	299.104	0.0833438502821496	44.3641506288109	0.000115348172148811	15.833333	0.0312910569105691	0.00106112799291098	0.0121241404137355	80.3143462824628	72.6422764227642	98.8861788617886	100.682926829268	106.739837398374	17.2926829268293	190.357723577236	145.60162601626	0.104778761061947	0.594778761061947	3.18230088495575	1.85734513274336	1.91794790793651	1.91672213610358
S122MES	-8.9729	-139.2393	600	600.0149	7.133995	35.294536	34.5789	7.075495	27.07634	40.6107	41.697487	-0.00072	0	0.000109	9.4e-05	0.001795	3.112808	0.01275	0.003627	NA	0	0.12	0	365	702	45.464985	0.1873	26.68448125	2.8445398594	NA	0.0936469696462154	299.104	0.0721701942384243	42.2708873748779	0.000125267026305664	15.833333	0.03178	0.000912053103093058	0.0108658201061189	89.1138648986816	97	98	103	107	13	255	209	0.02	2.43	34.6	22.49	1.59349277777778	2.12650438888889
S122SUR	-8.99780756302521	-139.214765546219	5	6.3958	26.60467	55.270298	35.37032	26.60332	23.122935	187.07695	5.660372	0.06324	0.176952	0.000183	0.000605	0.002255	1.574452	0.070035	0.060791	NA	28.0116414621849	0.186554621848739	0	365	701.168067226891	45.4481740756302	0.207102016806723	26.6842944684874	2.8445398594	NA	0.0970713357840265	299.104	0.0765444941255225	41.5231102374421	0.000121429089814847	15.833333	0.0317247058823529	0.00100110474966091	0.0104935584245484	86.1562646176635	103.436974789916	103.949579831933	106.974789915966	113.949579831933	14	257.848739495798	219.890756302521	0.12	0.57	5.5	2.19	1.46409312784471	1.46071767957351
S122ZZZ	-8.98716666666667	-139.225104444444	304.545454545455	253.45922	17.0051749555556	45.4079409333333	35.1109063555556	16.9727605333333	25.3516535111111	110.729053688889	18.4798640222222	0.0362173333333333	0.0972271333333333	0.000136177777777778	0.000279311111111111	0.00195104444444444	2.3160496	0.0334394666666667	0.0242336444444444	NA	0.744130342105263	0.150222222222222	0	365	701.511111111111	45.4498894222222	0.190565555555556	26.6457592666667	2.8445398594	NA	0.101240669770373	NA	0.0781074406786097	42.1159396277533	0.000120150543726696	15.833333	0.0318456222222222	0.00100363364779494	0.0108290083602899	85.1486182318794	87.7333333333333	105.022222222222	103.311111111111	114.911111111111	15.6666666666667	260.6	221.333333333333	NA	NA	NA	NA	1.42254907729469	1.46007661680912
S123DCM	-8.9000064516129	-140.283843548387	150	149.549711290323	22.468017983871	51.683137016129	35.9167058870968	22.4377366935484	24.7870890322581	159.856835483871	4.40287132258065	-0.00348967741935484	0.0108690322580645	0.000141741935483871	0.000238951612903226	0.00189748387096774	1.92415088709677	0.0337553709677419	0.0192751129032258	NA	NA	0.0361290322580645	0	365	703.870967741935	46.940914	NA	26.73019	3.4320055569	NA	0.311223369452261	NA	0.134585110650908	78.4711099440052	0.000143538467161688	1.083333	0.057583	0.00114363929136626	0.0255485007599477	55.2840374362084	97.9677419354839	106.370967741935	36.1774193548387	117.693548387097	13.9516129032258	279	269.241935483871	NA	NA	NA	NA	4.75879655291005	5.27399491777607
S123MIX	-8.9109	-140.2845	150	149.5593	21.97372	51.121429	35.877315	21.943855	24.895825	158.18405	5.004597	-0.00624	0.002503	0.000138	0.000202	0.001861	1.955839	0.030607	0.019922	NA	NA	0.04	0	365	704	46.940914	NA	26.73019	3.4320055569	NA	0.307092308998108	NA	0.133895821869373	77.0915184020996	0.000143744480737951	1.083333	0.057583	0.00114826299250126	0.0251311520114541	55.6563377380371	95	107	36	234	13	237	236	NA	NA	NA	NA	6.00954309259259	6.00954309259259
S123SUR	-8.90404153846154	-140.286647692308	5	6.4466	26.586685	55.230397	35.3551	26.58522	23.11712	189.6701	4.805128	0.08652	0.23227	0.00021	0.000726	0.002377	1.63837	0.109217	0.090418	NA	23.435565	0.0106923076923077	0	365	703.023076923077	46.940914	NA	26.73019	3.4320055569	4.91362	0.308515229821205	405.405	0.134133243560791	77.5667110443115	0.000143673520506127	1.083333	0.057583	0.00114667038433254	0.0252749054692686	55.5281009674072	107.184615384615	115.284615384615	22.7461538461538	127.215384615385	13.9769230769231	454.846153846154	294.546153846154	0.14	0.53	4.9	2.22	5.00356472350406	4.87553036931217
S123ZZZ	-8.90465609756098	-140.282741463415	195.833333333333	196.096130487805	19.5793445121951	48.0297717560976	35.2019223658537	19.5506593902439	24.8134709756098	128.942086585366	13.4676602926829	0.0355353658536585	0.100157024390244	0.000163268292682927	0.000398829268292683	0.00206578048780488	2.14964924390244	0.0536393658536585	0.0355330487804878	NA	0.347987146341463	0.0209756097560976	0	365	703.365853658537	46.940914	NA	26.73019	3.4320055569	NA	0.308480524435276	NA	0.134127452787829	77.5551209798673	0.000143675251243489	1.083333	0.057583	0.00114670922843421	0.0252713992873706	55.5312286935201	101.365853658537	114.317073170732	20.9512195121951	125.219512195122	13.6341463414634	481.609756097561	283.487804878049	NA	NA	NA	NA	5.70206105340976	5.41856762149955
S124DCM	-9.08299285714286	-140.542935714286	40	40.3301178571429	26.5242025	55.2253511428571	35.3886510714286	26.5149221428571	23.1647910714286	189.604128571429	5.68459135714286	0.161648571428571	0.371741714285714	0.000247714285714286	0.000952571428571429	0.00260278571428571	1.65091	0.1174135	0.102807142857143	NA	0.538652571428571	0.374285714285714	0	365	704.428571428571	41.9931255714286	0.0988626153846154	26.6827163269231	2.509824984	NA	0.246173204588038	NA	0.132995631545782	69.5801625932966	0.00016203256693968	2.777778	0.0536248571428571	0.00125660027593507	0.0204991909808346	61.0762750080654	94	96.4285714285714	47.6428571428571	111.571428571429	16.2142857142857	231.714285714286	219.5	NA	NA	NA	NA	0.887630384920635	0.88457526984127
